provincia,tipo de averia y emergencia,anio,mes,averias,fecha
Distrito Nacional,Alumbrado Público,2017,1,0.0,2017-01-01
Distrito Nacional,Falta de Energía,2017,1,1652.0,2017-01-01
Distrito Nacional,Niveles de Tensión,2017,1,227.0,2017-01-01
Distrito Nacional,Otros,2017,1,1.0,2017-01-01
Distrito Nacional,Probable Defecto o Falla,2017,1,13.0,2017-01-01
Distrito Nacional,Riesgo de Vida,2017,1,205.0,2017-01-01
El Seibo,Falta de Energía,2017,1,407.0,2017-01-01
El Seibo,Niveles de Tensión,2017,1,36.0,2017-01-01
El Seibo,Otros,2017,1,0.0,2017-01-01
El Seibo,Probable Defecto o Falla,2017,1,5.0,2017-01-01
El Seibo,Riesgo de Vida,2017,1,57.0,2017-01-01
Hato Mayor,Falta de Energía,2017,1,313.0,2017-01-01
Hato Mayor,Niveles de Tensión,2017,1,32.0,2017-01-01
Hato Mayor,Otros,2017,1,0.0,2017-01-01
Hato Mayor,Probable Defecto o Falla,2017,1,3.0,2017-01-01
Hato Mayor,Riesgo de Vida,2017,1,50.0,2017-01-01
La Altagracia,Falta de Energía,2017,1,784.0,2017-01-01
La Altagracia,Niveles de Tensión,2017,1,98.0,2017-01-01
La Altagracia,Otros,2017,1,0.0,2017-01-01
La Altagracia,Probable Defecto o Falla,2017,1,5.0,2017-01-01
La Altagracia,Riesgo de Vida,2017,1,145.0,2017-01-01
La Romana,Alumbrado Público,2017,1,0.0,2017-01-01
La Romana,Falta de Energía,2017,1,786.0,2017-01-01
La Romana,Niveles de Tensión,2017,1,90.0,2017-01-01
La Romana,Otros,2017,1,0.0,2017-01-01
La Romana,Probable Defecto o Falla,2017,1,2.0,2017-01-01
La Romana,Riesgo de Vida,2017,1,131.0,2017-01-01
Monte Plata,Falta de Energía,2017,1,458.0,2017-01-01
Monte Plata,Niveles de Tensión,2017,1,40.0,2017-01-01
Monte Plata,Otros,2017,1,0.0,2017-01-01
Monte Plata,Probable Defecto o Falla,2017,1,7.0,2017-01-01
Monte Plata,Riesgo de Vida,2017,1,104.0,2017-01-01
San Pedro de Macorís,Alumbrado Público,2017,1,0.0,2017-01-01
San Pedro de Macorís,Falta de Energía,2017,1,745.0,2017-01-01
San Pedro de Macorís,Niveles de Tensión,2017,1,62.0,2017-01-01
San Pedro de Macorís,Otros,2017,1,0.0,2017-01-01
San Pedro de Macorís,Probable Defecto o Falla,2017,1,3.0,2017-01-01
San Pedro de Macorís,Riesgo de Vida,2017,1,149.0,2017-01-01
Santo Domingo,Alumbrado Público,2017,1,0.0,2017-01-01
Santo Domingo,Falta de Energía,2017,1,6113.0,2017-01-01
Santo Domingo,Niveles de Tensión,2017,1,746.0,2017-01-01
Santo Domingo,Otros,2017,1,,2017-01-01
Santo Domingo,Probable Defecto o Falla,2017,1,38.0,2017-01-01
Santo Domingo,Riesgo de Vida,2017,1,784.0,2017-01-01
Santo Domingo,Sin Identificar,2017,1,3.0,2017-01-01
Santo Domingo,Falta de Energía,2017,1,1.0,2017-01-01
Santo Domingo,Niveles de Tensión,2017,1,0.0,2017-01-01
Santo Domingo,Riesgo de Vida,2017,1,2.0,2017-01-01
Distrito Nacional,Alumbrado Público,2018,1,0.0,2018-01-01
Distrito Nacional,Falta de Energía,2018,1,2295.0,2018-01-01
Distrito Nacional,Niveles de Tensión,2018,1,412.0,2018-01-01
Distrito Nacional,Otros,2018,1,0.0,2018-01-01
Distrito Nacional,Probable Defecto o Falla,2018,1,15.0,2018-01-01
Distrito Nacional,Riesgo de Vida,2018,1,319.0,2018-01-01
El Seibo,Falta de Energía,2018,1,396.0,2018-01-01
El Seibo,Niveles de Tensión,2018,1,33.0,2018-01-01
El Seibo,Otros,2018,1,0.0,2018-01-01
El Seibo,Probable Defecto o Falla,2018,1,4.0,2018-01-01
El Seibo,Riesgo de Vida,2018,1,52.0,2018-01-01
Hato Mayor,Falta de Energía,2018,1,289.0,2018-01-01
Hato Mayor,Niveles de Tensión,2018,1,44.0,2018-01-01
Hato Mayor,Otros,2018,1,0.0,2018-01-01
Hato Mayor,Probable Defecto o Falla,2018,1,0.0,2018-01-01
Hato Mayor,Riesgo de Vida,2018,1,59.0,2018-01-01
La Altagracia,Falta de Energía,2018,1,852.0,2018-01-01
La Altagracia,Niveles de Tensión,2018,1,112.0,2018-01-01
La Altagracia,Otros,2018,1,1.0,2018-01-01
La Altagracia,Probable Defecto o Falla,2018,1,4.0,2018-01-01
La Altagracia,Riesgo de Vida,2018,1,169.0,2018-01-01
La Romana,Alumbrado Público,2018,1,1.0,2018-01-01
La Romana,Falta de Energía,2018,1,670.0,2018-01-01
La Romana,Niveles de Tensión,2018,1,134.0,2018-01-01
La Romana,Otros,2018,1,0.0,2018-01-01
La Romana,Probable Defecto o Falla,2018,1,2.0,2018-01-01
La Romana,Riesgo de Vida,2018,1,134.0,2018-01-01
Monte Plata,Falta de Energía,2018,1,450.0,2018-01-01
Monte Plata,Niveles de Tensión,2018,1,49.0,2018-01-01
Monte Plata,Otros,2018,1,1.0,2018-01-01
Monte Plata,Probable Defecto o Falla,2018,1,2.0,2018-01-01
Monte Plata,Riesgo de Vida,2018,1,104.0,2018-01-01
San Pedro de Macorís,Alumbrado Público,2018,1,0.0,2018-01-01
San Pedro de Macorís,Falta de Energía,2018,1,733.0,2018-01-01
San Pedro de Macorís,Niveles de Tensión,2018,1,89.0,2018-01-01
San Pedro de Macorís,Otros,2018,1,0.0,2018-01-01
San Pedro de Macorís,Probable Defecto o Falla,2018,1,1.0,2018-01-01
San Pedro de Macorís,Riesgo de Vida,2018,1,120.0,2018-01-01
