provincia,estado,bajas,mes,anio,fecha
Distrito Nacional,baja forzada,297,1,2017,2017-01-01
Distrito Nacional,baja voluntaria,396,1,2017,2017-01-01
El Seibo,baja forzada,66,1,2017,2017-01-01
El Seibo,baja voluntaria,55,1,2017,2017-01-01
Hato Mayor,baja forzada,93,1,2017,2017-01-01
Hato Mayor,baja voluntaria,63,1,2017,2017-01-01
La Altagracia,baja forzada,201,1,2017,2017-01-01
La Altagracia,baja voluntaria,165,1,2017,2017-01-01
La Romana,baja forzada,307,1,2017,2017-01-01
La Romana,baja voluntaria,303,1,2017,2017-01-01
Monte Plata,baja forzada,168,1,2017,2017-01-01
Monte Plata,baja voluntaria,97,1,2017,2017-01-01
San Pedro de Macorís,baja forzada,315,1,2017,2017-01-01
San Pedro de Macorís,baja voluntaria,371,1,2017,2017-01-01
Santo Domingo,baja forzada,1036,1,2017,2017-01-01
Santo Domingo,baja voluntaria,1931,1,2017,2017-01-01
Distrito Nacional,baja forzada,218,2,2017,2017-02-01
Distrito Nacional,baja voluntaria,420,2,2017,2017-02-01
El Seibo,baja forzada,61,2,2017,2017-02-01
El Seibo,baja voluntaria,45,2,2017,2017-02-01
Hato Mayor,baja forzada,136,2,2017,2017-02-01
Hato Mayor,baja voluntaria,69,2,2017,2017-02-01
La Altagracia,baja forzada,203,2,2017,2017-02-01
La Altagracia,baja voluntaria,141,2,2017,2017-02-01
La Romana,baja forzada,211,2,2017,2017-02-01
La Romana,baja voluntaria,348,2,2017,2017-02-01
Monte Plata,baja forzada,111,2,2017,2017-02-01
Monte Plata,baja voluntaria,94,2,2017,2017-02-01
San Pedro de Macorís,baja forzada,384,2,2017,2017-02-01
San Pedro de Macorís,baja voluntaria,305,2,2017,2017-02-01
Santo Domingo,baja forzada,1647,2,2017,2017-02-01
Santo Domingo,baja voluntaria,1949,2,2017,2017-02-01
Distrito Nacional,baja forzada,413,3,2017,2017-03-01
Distrito Nacional,baja voluntaria,426,3,2017,2017-03-01
El Seibo,baja forzada,58,3,2017,2017-03-01
El Seibo,baja voluntaria,41,3,2017,2017-03-01
Hato Mayor,baja forzada,66,3,2017,2017-03-01
Hato Mayor,baja voluntaria,76,3,2017,2017-03-01
La Altagracia,baja forzada,203,3,2017,2017-03-01
La Altagracia,baja voluntaria,171,3,2017,2017-03-01
La Romana,baja forzada,277,3,2017,2017-03-01
La Romana,baja voluntaria,376,3,2017,2017-03-01
Monte Plata,baja forzada,154,3,2017,2017-03-01
Monte Plata,baja voluntaria,118,3,2017,2017-03-01
San Pedro de Macorís,baja forzada,489,3,2017,2017-03-01
San Pedro de Macorís,baja voluntaria,345,3,2017,2017-03-01
Santo Domingo,baja forzada,1884,3,2017,2017-03-01
Santo Domingo,baja voluntaria,2221,3,2017,2017-03-01
Distrito Nacional,baja forzada,265,4,2017,2017-04-01
Distrito Nacional,baja voluntaria,338,4,2017,2017-04-01
El Seibo,baja forzada,80,4,2017,2017-04-01
El Seibo,baja voluntaria,35,4,2017,2017-04-01
Hato Mayor,baja forzada,98,4,2017,2017-04-01
Hato Mayor,baja voluntaria,39,4,2017,2017-04-01
