,provincia,energia entregada,mes,anio,fecha
0,El Seibo,4.9001654100000005,1,2017,2017-01-01
1,Distrito Nacional,66.68457468,1,2017,2017-01-01
2,Hato Mayor,5.17920817,1,2017,2017-01-01
3,La Altagracia,19.98201241,1,2017,2017-01-01
4,La Romana,22.90885846,1,2017,2017-01-01
5,Monte Plata,8.66903676,1,2017,2017-01-01
6,San Pedro de Macorís,36.776705840000005,1,2017,2017-01-01
7,Santo Domingo,174.25659381,1,2017,2017-01-01
8,El Seibo,4.59061742,2,2017,2017-02-01
9,Distrito Nacional,63.36477592,2,2017,2017-02-01
10,Hato Mayor,4.72098186,2,2017,2017-02-01
11,La Altagracia,18.51489548,2,2017,2017-02-01
12,La Romana,21.56491097,2,2017,2017-02-01
13,Monte Plata,7.45786732,2,2017,2017-02-01
14,San Pedro de Macorís,35.49896221,2,2017,2017-02-01
15,Santo Domingo,164.12279046,2,2017,2017-02-01
16,El Seibo,5.093697929999999,3,2017,2017-03-01
17,Distrito Nacional,71.72367005,3,2017,2017-03-01
18,Hato Mayor,5.33168256,3,2017,2017-03-01
19,La Altagracia,20.93547801,3,2017,2017-03-01
20,La Romana,24.23401926,3,2017,2017-03-01
21,Monte Plata,9.645451730000001,3,2017,2017-03-01
22,San Pedro de Macorís,40.0971172,3,2017,2017-03-01
23,Santo Domingo,183.00193069999997,3,2017,2017-03-01
24,El Seibo,5.20435998,4,2017,2017-04-01
25,Distrito Nacional,69.23619307999999,4,2017,2017-04-01
26,Hato Mayor,5.47681539,4,2017,2017-04-01
27,La Altagracia,21.438867899999998,4,2017,2017-04-01
28,La Romana,24.41668293,4,2017,2017-04-01
29,Monte Plata,9.40440496,4,2017,2017-04-01
30,San Pedro de Macorís,38.71918348,4,2017,2017-04-01
31,Santo Domingo,181.80540678,4,2017,2017-04-01
32,El Seibo,5.56639718,5,2017,2017-05-01
33,Distrito Nacional,77.42438908,5,2017,2017-05-01
34,Hato Mayor,5.719428280000001,5,2017,2017-05-01
35,La Altagracia,23.763441489999998,5,2017,2017-05-01
36,La Romana,26.95767982,5,2017,2017-05-01
37,Monte Plata,9.97686195,5,2017,2017-05-01
38,San Pedro de Macorís,43.194098880000006,5,2017,2017-05-01
39,Santo Domingo,200.4701186,5,2017,2017-05-01
40,El Seibo,5.5249429,6,2017,2017-06-01
41,Distrito Nacional,77.16458995,6,2017,2017-06-01
42,Hato Mayor,5.78913077,6,2017,2017-06-01
43,La Altagracia,23.53359549,6,2017,2017-06-01
44,La Romana,27.111884019999998,6,2017,2017-06-01
45,Monte Plata,10.004793529999999,6,2017,2017-06-01
46,San Pedro de Macorís,42.779963130000006,6,2017,2017-06-01
47,Santo Domingo,198.63839432,6,2017,2017-06-01
48,El Seibo,5.96035518,7,2017,2017-07-01
49,Distrito Nacional,80.47965036,7,2017,2017-07-01
50,Hato Mayor,5.9272795700000005,7,2017,2017-07-01
51,La Altagracia,23.88942412,7,2017,2017-07-01
52,La Romana,27.34798024,7,2017,2017-07-01
53,Monte Plata,10.0102726,7,2017,2017-07-01
54,San Pedro de Macorís,44.34262531,7,2017,2017-07-01
55,Santo Domingo,203.27737914,7,2017,2017-07-01
56,El Seibo,5.80782355,8,2017,2017-08-01
57,Distrito Nacional,83.59719273,8,2017,2017-08-01
58,Hato Mayor,6.01898691,8,2017,2017-08-01
59,La Altagracia,25.07689003,8,2017,2017-08-01
60,La Romana,27.96372747,8,2017,2017-08-01
61,Monte Plata,10.48734004,8,2017,2017-08-01
62,San Pedro de Macorís,43.61027705,8,2017,2017-08-01
63,Santo Domingo,212.50178381,8,2017,2017-08-01
64,El Seibo,4.44084488,9,2017,2017-09-01
65,Distrito Nacional,76.78467466,9,2017,2017-09-01
66,Hato Mayor,5.2304276,9,2017,2017-09-01
67,La Altagracia,22.32944009,9,2017,2017-09-01
68,La Romana,25.7305678,9,2017,2017-09-01
69,Monte Plata,10.131422970000001,9,2017,2017-09-01
70,San Pedro de Macorís,38.59898944,9,2017,2017-09-01
71,Santo Domingo,195.81879575,9,2017,2017-09-01
72,El Seibo,5.61942949,10,2017,2017-10-01
73,Distrito Nacional,79.63780016,10,2017,2017-10-01
74,Hato Mayor,5.86630325,10,2017,2017-10-01
75,La Altagracia,23.30130063,10,2017,2017-10-01
76,La Romana,26.470860079999998,10,2017,2017-10-01
77,Monte Plata,9.036154880000002,10,2017,2017-10-01
78,San Pedro de Macorís,42.40690847,10,2017,2017-10-01
