provincia,anio,mes,averias,bajas,energia_entregada_GWh
Distrito Nacional,2017,1,2098.0,693.0,66.68457468
Distrito Nacional,2017,2,2187.0,638.0,63.36477592
Distrito Nacional,2017,3,2419.0,839.0,71.72367005
Distrito Nacional,2017,4,2145.0,603.0,69.23619307999999
Distrito Nacional,2017,5,2572.0,777.0,77.42438908
Distrito Nacional,2017,6,2544.0,880.0,77.16458995
Distrito Nacional,2017,7,2526.0,760.0,80.47965036
Distrito Nacional,2017,8,2964.0,753.0,83.59719273
Distrito Nacional,2017,9,2912.0,647.0,76.78467466
Distrito Nacional,2017,10,3658.0,748.0,79.63780016
Distrito Nacional,2017,11,3050.0,782.0,71.95073569
Distrito Nacional,2017,12,2740.0,680.0,73.67097072
Distrito Nacional,2018,1,3041.0,789.0,68.2464884
Distrito Nacional,2018,2,2490.0,821.0,59.66880495
Distrito Nacional,2018,3,2794.0,1119.0,70.79562054
Distrito Nacional,2018,4,2768.0,710.0,74.55871184
Distrito Nacional,2018,5,3042.0,1250.0,78.59735598
Distrito Nacional,2018,6,2666.0,931.0,80.11949769
Distrito Nacional,2018,7,3428.0,776.0,82.27469045999999
Distrito Nacional,2018,8,3122.0,1418.0,81.31886632
Distrito Nacional,2018,9,2717.0,885.0,75.56344522
Distrito Nacional,2018,10,2729.0,1232.0,75.56344522
Distrito Nacional,2018,11,2903.0,1248.0,74.08582776
Distrito Nacional,2018,12,2464.0,875.0,73.12477557
Distrito Nacional,2019,1,2869.0,1074.0,69.1236328
Distrito Nacional,2019,2,2162.0,659.0,64.76231742
Distrito Nacional,2019,3,2335.0,1002.0,73.22545075
Distrito Nacional,2019,4,2246.0,732.0,71.86205432999999
Distrito Nacional,2019,5,2883.0,932.0,80.16020865
Distrito Nacional,2019,6,2980.0,738.0,80.52844282
Distrito Nacional,2019,7,3013.0,1306.0,85.72454152
Distrito Nacional,2019,8,3089.0,1028.0,87.96391870000001
Distrito Nacional,2019,9,3413.0,1022.0,86.72928411
Distrito Nacional,2019,10,2596.0,1224.0,87.29716954000001
Distrito Nacional,2019,11,2372.0,1040.0,78.94678520000001
Distrito Nacional,2019,12,2246.0,1066.0,78.75226122
Distrito Nacional,2020,1,2783.0,1285.0,6.458741638
Distrito Nacional,2020,2,2146.0,999.0,6.115326756
Distrito Nacional,2020,3,1883.0,974.0,6.398354482
Distrito Nacional,2020,4,1185.0,75.0,6.87644455
Distrito Nacional,2020,5,1917.0,266.0,7.22835572
Distrito Nacional,2020,6,1981.0,471.0,7.522603996
Distrito Nacional,2020,7,2254.0,678.0,7.749009424
Distrito Nacional,2020,8,2824.0,1570.0,7.749009424
Distrito Nacional,2020,9,3030.0,2396.0,7.532005519
Distrito Nacional,2020,10,3101.0,2545.0,7.809365679
Distrito Nacional,2020,11,3102.0,2065.0,6.929664637
Distrito Nacional,2020,12,2658.0,2512.0,7.140747104
Distrito Nacional,2021,1,1965.0,1862.0,72.00498431
Distrito Nacional,2021,2,2268.0,2116.0,68.82155723000001
Distrito Nacional,2021,3,2946.0,2655.0,76.86041248000001
Distrito Nacional,2021,4,2712.0,1825.0,77.24383222
Distrito Nacional,2021,5,3028.0,1227.0,85.51007033
Distrito Nacional,2021,6,3196.0,938.0,81.04898788
Distrito Nacional,2021,7,3300.0,929.0,89.23746839
Distrito Nacional,2021,8,3583.0,1570.0,87.32536284
Distrito Nacional,2021,9,3808.0,639.0,92.27852184
Distrito Nacional,2021,10,3090.0,1570.0,90.33200795
Distrito Nacional,2021,11,2655.0,571.0,86.97496899
Distrito Nacional,2021,12,2485.0,579.0,81.29899081999999
Distrito Nacional,2022,1,1999.0,604.0,78.21041906
Distrito Nacional,2022,2,2170.0,794.0,69.6424259
Distrito Nacional,2022,3,2731.0,980.0,79.79516265000001
Distrito Nacional,2022,4,3039.0,701.0,76.10533283
Distrito Nacional,2022,5,3882.0,666.0,87.75801599272077
Distrito Nacional,2022,6,3713.0,699.0,92.54013767749788
Distrito Nacional,2022,7,4648.0,709.0,89.5817143220296
Distrito Nacional,2022,8,4924.0,737.0,94.01719434278688
Distrito Nacional,2022,9,3983.0,740.0,89.52619571840786
Distrito Nacional,2022,10,4470.0,785.0,85.90369043501416
Distrito Nacional,2022,11,4679.0,819.0,78.27896147215304
Distrito Nacional,2022,12,4080.0,688.0,75.74187335564095
Distrito Nacional,2023,1,3203.0,587.0,71.76919641554146
Distrito Nacional,2023,2,3562.0,687.0,66.83429095173398
Distrito Nacional,2023,3,3990.0,731.0,66.83429095173398
Distrito Nacional,2023,4,4038.0,505.0,78.53101057106647
Distrito Nacional,2023,5,3881.0,674.0,90.80758633
Distrito Nacional,2023,6,3897.0,611.0,96.53878536677988
Distrito Nacional,2023,7,3646.0,640.0,98.50217270037368
Distrito Nacional,2023,8,2904.0,564.0,98.8411200851688
Distrito Nacional,2023,9,2351.0,578.0,101.53090440348092
Distrito Nacional,2023,10,2768.0,712.0,105.88577049316308
Distrito Nacional,2023,11,3340.0,516.0,88.79330810167285
Distrito Nacional,2023,12,3307.0,509.0,84.97454121326913
Distrito Nacional,2024,1,2936.0,593.0,86.75533614020445
Distrito Nacional,2024,2,2977.0,589.0,77.7438395239321
Distrito Nacional,2024,3,2993.0,629.0,90.37631702143275
Distrito Nacional,2024,4,3414.0,639.0,90.8959556000205
Distrito Nacional,2024,5,4537.0,575.0,100.51337271583584
Distrito Nacional,2024,6,4195.0,511.0,102.75150248
Distrito Nacional,2024,7,3523.0,663.0,104.02341338886616
