fecha,averias,bajas,energia entregada,anio,mes,comprada_GWh,facturada_GWh,cobrada_GWh,perdida_GWh,perdida_pct,perdida_ano_movil_pct
2017-01-01,14297.0,5864.0,339.35715554,2017.0,1.0,341.93,214.51,184.1,127.42,37.26,37.48
2017-02-01,14087.0,6342.0,319.83580164,2017.0,2.0,322.39,207.79,207.79,114.6,35.55,37.57
2017-03-01,16367.0,7318.0,360.06304744,2017.0,3.0,375.42,214.88,211.96,160.54,42.76,37.92
2017-04-01,14966.0,5767.0,355.7019145,2017.0,4.0,371.32,239.95,219.06,131.36,35.38,37.83
2017-05-01,17733.0,7225.0,393.07241528,2017.0,5.0,408.6,239.42,236.94,169.19,41.41,38.01
2017-06-01,17106.0,7300.0,390.54729411,2017.0,6.0,405.9,259.09,259.04,146.81,36.17,38.02
2017-07-01,18598.0,7821.0,401.23496651999994,2017.0,7.0,417.32,257.4,244.03,159.92,38.32,37.91
2017-08-01,19812.0,7076.0,415.0640215899999,2017.0,8.0,429.82,263.69,257.35,166.13,38.65,37.97
2017-09-01,20279.0,6051.0,379.06516319,2017.0,9.0,394.1,259.35,249.9,134.76,34.19,37.68
2017-10-01,23221.0,7309.0,396.56647098999997,2017.0,10.0,411.95,246.35,250.66,165.59,40.2,37.87
2017-11-01,20470.0,7279.0,360.0936352599999,2017.0,11.0,389.45,273.48,263.37,115.97,29.78,37.49
2017-12-01,17535.0,6742.0,374.78553324,2017.0,12.0,399.59,253.47,242.62,146.12,36.57,37.24
2018-01-01,19434.0,7439.0,348.47950526,2018.0,1.0,381.09,242.22,214.67,138.88,36.44,37.18
2018-02-01,16404.0,7837.0,302.91327491,2018.0,2.0,342.01,240.3,225.44,101.71,29.74,36.75
2018-03-01,18086.0,8105.0,362.98751986999997,2018.0,3.0,400.85,242.47,239.07,158.38,39.51,36.51
2018-04-01,18311.0,6739.0,376.15438509,2018.0,4.0,414.26,259.68,217.16,154.58,37.31,36.66
2018-05-01,19487.0,7272.0,400.94832888999997,2018.0,5.0,428.28,264.22,243.11,164.07,38.31,36.41
2018-06-01,16719.0,6573.0,413.8319976800001,2018.0,6.0,433.48,270.86,252.58,162.61,37.51,36.53
2018-07-01,21751.0,6492.0,430.60071867000005,2018.0,7.0,452.28,275.7,255.71,176.58,39.04,36.61
2018-08-01,21331.0,7777.0,424.04711511,2018.0,8.0,445.25,281.81,265.52,163.44,36.71,36.44
2018-09-01,20292.0,6350.0,395.31825552,2018.0,9.0,417.9,267.74,267.74,150.16,35.93,36.57
2018-10-01,20241.0,7782.0,395.31825552,2018.0,10.0,429.05,264.85,257.55,164.2,38.27,36.42
2018-11-01,18998.0,7234.0,386.83858459000004,2018.0,11.0,434.13,289.97,289.97,144.16,33.21,36.66
2018-12-01,18254.0,6360.0,388.97048492,2018.0,12.0,440.79,237.26,253.08,203.52,46.17,37.5
2019-01-01,22366.0,8993.0,374.85282302999997,2019.0,1.0,443.16,276.92,241.03,166.24,37.51,37.58
2019-02-01,16224.0,5780.0,347.29640343,2019.0,2.0,407.31,289.17,241.69,118.13,29.0,37.42
2019-03-01,17518.0,6932.0,392.83452439,2019.0,3.0,407.73,285.94,262.58,121.78,29.87,36.66
2019-04-01,18553.0,6236.0,394.21867082,2019.0,4.0,407.36,247.03,281.0,160.33,39.36,36.82
2019-05-01,22087.0,7098.0,427.52910263,2019.0,5.0,447.26,261.31,267.38,185.95,41.58,37.11
